Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Rafael Flores Jr.,PIT,16.0325,14.3489,3.4991,0.4993,1.7142,1.398,0.1122,0.313593,0.40116
Justin Crawford,PHI,23.0716,21.0958,5.8051,0.3003,2.5792,1.5227,0.1615,0.326301,0.382787
Cam Smith,HOU,25.7591,23.0814,5.3912,0.8851,2.9166,2.0401,0.3349,0.302802,0.409104
Tommy Edman,LAD,28.0133,25.33,6.1711,0.726,3.1615,1.8825,0.4762,0.305814,0.386384
Keibert Ruiz,WSN,17.9703,16.6173,4.3537,0.5238,1.9387,0.9434,0.1977,0.307099,0.41177
Denzer Guzman,LAA,25.084,23.0098,5.3405,0.7917,2.4922,1.638,0.1756,0.286164,0.384988
Anthony Volpe,NYY,14.629,13.1531,3.0263,0.4244,1.6473,1.201,0.1024,0.29732,0.389171
Sean Murphy,ATL,15.0281,13.0848,2.8113,0.5331,1.7053,1.4743,0.2855,0.305645,0.384331
Ezequiel Tovar,COL,26.9868,25.0052,6.1488,0.7794,2.9969,1.4924,0.1619,0.290545,0.40236
Alec Bohm,PHI,28.7059,26.0216,7.0204,0.7439,3.2426,2.0955,0.3158,0.329242,0.414905
Joc Pederson,TEX,17.8448,15.2554,3.6155,0.867,2.4348,2.0629,0.3212,0.337907,0.453105
Drew Gilbert,SFG,20.8344,18.3893,4.3419,0.5792,2.3518,1.8355,0.3542,0.315232,0.391456
Braden Montgomery,CHW,27.7921,24.5976,5.8724,0.72,3.009,2.6125,0.2779,0.316446,0.3909
Andy Pages,LAD,11.3485,10.2951,2.6594,0.4532,1.4581,0.774,0.1589,0.317672,0.447679
Thomas Saggese,STL,19.4064,17.7688,4.3886,0.4893,1.9551,1.242,0.1941,0.301185,0.383611
Miguel Amaya,CHC,14.6596,13.0049,3.0118,0.4038,1.6033,1.1596,0.3079,0.307167,0.374859
Luis Campusano,SDP,16.3442,14.3934,3.5133,0.5587,1.7936,1.6262,0.1471,0.32468,0.406283
John Peck,DET,17.7818,16.4314,4.0629,0.3718,1.9103,0.946,0.1778,0.293241,0.372275
Jeff McNeil,ATH,26.0535,23.4217,6.2422,0.5793,2.9549,1.9175,0.4169,0.330603,0.399886
Donovan Walton,ATH,20.0256,17.6987,4.3193,0.5293,2.1037,1.8363,0.2804,0.322511,0.386418
Trevor Story,BOS,28.5917,26.4126,6.2589,0.8151,2.9466,1.624,0.2859,0.28642,0.382045
Heriberto Hernández,MIA,28.0277,24.6319,5.7674,1.1736,3.5087,2.8196,0.2803,0.317507,0.428282
Vaughn Grissom,LAA,30.1376,27.314,6.8415,0.7769,3.0842,2.1187,0.4521,0.312781,0.388145
Eduardo Valencia,DET,12.131,11.0957,2.7766,0.5152,1.4212,0.7679,0.1456,0.30503,0.440648
Spencer Horwitz,PIT,24.7374,21.2729,5.5755,0.6234,2.9727,2.8522,0.3216,0.355355,0.411853
Brandon Valenzuela,TOR,13.1273,11.7548,2.5554,0.4149,1.3658,1.1289,0.0919,0.288868,0.368505
Isaac Collins,KCR,23.675,20.2562,4.8265,0.414,2.6164,2.8339,0.3078,0.33806,0.368519
Teoscar Hernández,LAD,28.583,25.862,6.533,1.2331,3.488,2.178,0.2572,0.314567,0.448005
Nathan Church,STL,20.3059,18.6396,4.7933,0.4589,2.142,1.2001,0.2234,0.307563,0.384536
Alika Williams,ATH,24.5269,22.4905,5.6136,0.4661,2.5014,1.4593,0.2698,0.300912,0.374803
Brady House,WSN,23.5448,21.8624,5.4605,0.7489,2.4972,1.2596,0.1884,0.294095,0.406785
Victor Caratini,MIN,14.1947,12.5362,3.0723,0.3667,1.463,1.1966,0.3123,0.323849,0.374188
Sal Frelick,MIL,20.5354,18.384,4.9149,0.3576,2.2365,1.7168,0.2054,0.334311,0.383116
Tyler Heineman,LAA,11.4317,10.3233,2.3279,0.172,1.0464,0.7465,0.2172,0.289427,0.323278
Mauricio Dubón,ATL,28.8467,26.7717,7.1503,0.5393,3.0268,1.5721,0.2019,0.310325,0.385915
Brandon Marsh,PHI,24.0574,21.5478,5.5686,0.6797,2.7178,2.1171,0.1443,0.326513,0.412608
Luis Robert Jr.,BAL,12.2537,11.0729,2.6702,0.4854,1.4349,0.9435,0.1225,0.305605,0.419366
Griffin Conine,MIA,28.1318,24.9069,5.8755,1.2435,3.3128,2.6613,0.3094,0.315122,0.430559
Jonah Cox,SFG,18.8271,17.4135,4.4209,0.3144,1.9942,1.0807,0.1506,0.30103,0.376869
Ha-Seong Kim,ATL,20.607,17.8835,4.1279,0.3765,2.2285,2.308,0.1649,0.321832,0.342522
