216,Cody Bradford,TEX,18,23,97.1,47,13,77,23,1.2,1.2,4.35,999
217,Sem Robberse,STL,19,20,103.1,46,11,80,33,0.96,1.29,4.01,999
218,Drew Anderson,DET,20,22,113,56,17,119,42,1.35,1.32,4.46,999
219,Sawyer Gipson-Long,DET,17,23,95,45,12,78,25,1.14,1.25,4.26,999
220,Ryan Weiss,HOU,19,22,119,56,16,114,44,1.21,1.3,4.24,999
221,Cade Cavalli,WSN,22,22,102,49,11,88,36,0.97,1.3,4.32,999
222,Ben Kudrna,KCR,20,22,103.1,50,10,80,40,0.87,1.34,4.36,999
223,Keider Montero,DET,19,26,113.1,53,14,91,36,1.11,1.27,4.21,999
224,Grant Taylor,CHW,8,50,62.2,24,5,66,20,0.72,1.18,3.44,999
225,Steven Zobac,KCR,22,23,100.2,50,12,77,28,1.07,1.27,4.47,999
226,Ixan Henderson,STL,21,22,109,49,11,87,41,0.91,1.32,4.05,999
227,Shane Murphy,CHW,19,23,105.2,52,15,70,22,1.28,1.25,4.43,999
228,Colton Gordon,HOU,20,24,111,52,16,93,33,1.3,1.3,4.22,999
229,Yorman Gómez,CLE,14,23,103.1,45,11,85,36,0.96,1.28,3.92,999
230,Blake Wehunt,BOS,25,25,99.1,47,11,82,36,1,1.33,4.26,999
231,Will Sanders,CHC,20,23,108.1,50,12,91,35,1,1.23,4.16,999
232,Angel Bastardo,BOS,21,21,102,45,12,89,42,1.06,1.33,3.97,999
233,Josh Stephan,TEX,19,21,103.1,51,12,75,29,1.05,1.25,4.44,999
234,Tanner Gordon,COL,21,21,104.2,58,17,76,25,1.46,1.37,4.99,999
235,Fernando Perez,TOR,24,24,111,53,14,78,32,1.14,1.25,4.3,999
236,Grant Rogers,TOR,22,22,119.1,59,14,73,30,1.06,1.27,4.45,999
237,Cade Smith,CLE,0,67,68.1,22,5,87,21,0.66,1.04,2.9,999
238,Tylor Megill,NYM,21,21,97,47,12,101,43,1.11,1.39,4.36,999
239,Johan Oviedo,BOS,20,22,99.1,46,12,93,42,1.09,1.34,4.17,999
240,Max Meyer,MIA,22,22,102,46,13,91,34,1.15,1.29,4.06,999
241,Mason Montgomery,PIT,11,44,83,33,8,89,31,0.87,1.24,3.58,999
242,Andrew Alvarez,WSN,21,23,112.2,55,13,84,42,1.04,1.39,4.39,999
243,Winston Santos,TEX,23,23,103,51,12,81,30,1.05,1.21,4.46,999
244,Riley Gowens,CHW,21,21,107.1,54,15,95,38,1.26,1.32,4.53,999
245,Christian Scott,NYM,22,22,99.2,48,13,88,29,1.17,1.24,4.33,999
246,Zac Gallen,ARI,25,25,145.2,64,20,126,46,1.24,1.28,3.95,999
247,Brycen Mautz,STL,24,24,107.2,50,12,90,37,1,1.29,4.18,999
248,Tate Kuehner,MIL,21,22,100,45,10,95,47,0.9,1.36,4.05,999
249,Sonny Gray,BOS,21,21,117.1,59,18,110,39,1.38,1.41,4.53,999
250,Chris Campos,LAD,19,23,105.1,55,15,82,28,1.28,1.27,4.7,999
251,Joander Suarez,NYM,19,23,102.1,49,13,82,28,1.14,1.28,4.31,999
252,Drew Thorpe,CHW,19,19,103.1,50,14,79,34,1.22,1.32,4.36,999
253,Foster Griffin,WSN,16,19,97,48,13,88,29,1.21,1.3,4.45,999
254,Andre Pallante,STL,21,28,120.1,56,11,84,44,0.82,1.35,4.19,999
255,Tyler Stuart,WSN,21,21,101,48,11,78,35,0.98,1.35,4.28,999
256,Joey Estes,ATH,20,21,105,52,14,74,28,1.2,1.24,4.46,999
257,Jake Brooks,COL,21,22,104.1,54,12,62,27,1.04,1.35,4.66,999
258,Luis De León,BAL,21,24,101.1,47,10,85,42,0.89,1.34,4.18,999
259,Eduardo Rivera,BOS,16,23,92.2,43,9,86,42,0.87,1.34,4.17,999
260,Jhancarlos Lara,ATL,18,34,83.1,34,7,95,40,0.76,1.28,3.67,999
261,Josh Hartle,CLE,23,23,107,48,11,84,37,0.93,1.28,4.04,999
262,Ryne Nelson,ARI,19,25,121.1,53,16,97,33,1.19,1.23,3.93,999
263,Dean Kremer,BAL,22,23,124.1,61,18,101,40,1.3,1.34,4.42,999
264,Kohl Drake,ARI,21,23,101.1,44,12,93,35,1.07,1.28,3.91,999
265,J.T. Ginn,ATH,19,23,100.1,49,13,96,37,1.17,1.3,4.4,999
266,Thomas Harrington,PIT,21,23,105.1,48,12,81,31,1.03,1.27,4.1,999
267,Michael King,SDP,18,19,101.1,46,15,102,39,1.33,1.32,4.09,999
268,Connor Noland,CHC,19,23,112,51,13,81,35,1.04,1.29,4.1,999
269,Janson Junk,MIA,17,22,104.2,52,14,73,23,1.2,1.3,4.47,999
270,Logan Evans,SEA,21,24,109,49,12,85,33,0.99,1.26,4.05,999
271,Mason Black,KCR,21,25,104,52,12,85,42,1.04,1.37,4.5,999
272,Ryan Gusto,MIA,16,23,95.1,47,11,78,35,1.04,1.37,4.44,999
273,Alex Clemmey,WSN,24,24,108.2,54,11,95,53,0.91,1.41,4.47,999
274,Ricky Tiedemann,TOR,31,31,92,41,9,92,43,0.88,1.27,4.01,999
275,Griffin Jax,TBR,1,62,60.1,21,5,74,17,0.75,1.09,3.13,999
276,Jhoan Duran,PHI,0,64,65.1,20,4,75,20,0.55,1.09,2.76,999
277,Slade Cecconi,CLE,20,24,115.2,53,17,97,28,1.32,1.21,4.12,999
278,Yu-Min Lin,ARI,23,23,109.1,48,10,85,42,0.82,1.34,3.95,999
279,Logan Workman,TBR,21,22,112.2,57,16,86,33,1.28,1.3,4.55,999
280,Brody Hopkins,TBR,24,24,107,51,12,93,43,1.01,1.3,4.29,999
281,Dax Fulton,MIA,20,21,101.2,48,10,84,44,0.88,1.39,4.25,999
282,Jake Bennett,BOS,25,25,99,48,11,68,30,1,1.32,4.36,999
283,Braden Nett,ATH,23,24,98.2,48,10,83,44,0.91,1.4,4.38,999
284,AJ Blubaugh,HOU,18,26,106.2,49,14,97,41,1.18,1.29,4.13,999
285,Dylan Ray,ARI,22,22,111.1,51,12,84,37,0.97,1.32,4.12,999
286,Jaden Hamm,DET,25,25,104,52,12,78,36,1.04,1.32,4.5,999
287,Brian Van Belle,TBR,14,21,92,45,13,63,21,1.27,1.32,4.4,999
288,Moisés Chace,PHI,19,29,93.1,45,10,90,43,0.96,1.33,4.34,999
289,Adam Kloffenstein,NYY,19,22,100.1,51,11,83,39,0.99,1.32,4.58,999
290,Walbert Ureña,LAA,23,23,115.2,60,12,87,50,0.93,1.39,4.67,999
291,Davis Martin,CHW,20,21,109,54,14,83,37,1.16,1.34,4.46,999
292,Bryce Mayer,HOU,17,23,97,45,12,83,28,1.11,1.2,4.18,999
293,Shane Drohan,MIL,22,24,97.1,45,12,91,40,1.11,1.31,4.16,999
294,Stephen Kolek,KCR,20,25,115,55,11,77,38,0.86,1.35,4.3,999
295,Tanner Houck,BOS,16,18,97,47,10,73,33,0.93,1.35,4.36,999
296,Ben Shields,COL,19,23,92,46,12,82,33,1.17,1.37,4.5,999
297,Trystan Vrieling,SFG,20,22,100,47,11,75,29,0.99,1.31,4.23,999
298,Jean Cabrera,PHI,20,21,107.2,56,13,84,39,1.09,1.36,4.68,999
299,Luis Gil,NYY,20,21,100,50,14,99,48,1.26,1.33,4.5,999
300,Owen Wild,TBR,21,21,104.1,53,14,79,34,1.21,1.29,4.57,999
301,Levi Wells,BAL,22,25,100,48,11,77,35,0.99,1.32,4.32,999
302,Spencer Giesting,ARI,22,22,119,53,13,99,45,0.98,1.32,4.01,999
303,Carlos Rodón,NYY,20,20,107.2,54,16,103,42,1.34,1.34,4.51,999
304,Brandon Young,BAL,21,21,101.1,49,14,85,29,1.24,1.29,4.35,999
305,Luis Severino,ATH,20,20,112,59,15,86,37,1.21,1.38,4.74,999
306,Brant Hurter,DET,13,36,89,38,10,78,25,1.01,1.22,3.84,999
307,Joe Whitman,SFG,23,23,105.2,50,11,80,37,0.94,1.33,4.26,999
308,Lucas Gordon,CHW,23,24,100.2,52,12,81,43,1.07,1.4,4.65,999
309,Ty Madden,DET,20,22,101,49,12,86,41,1.07,1.37,4.37,999
310,Jose Fleury,HOU,19,26,94.2,43,12,81,33,1.14,1.29,4.09,999
311,Cristian Javier,HOU,19,20,99,47,13,93,46,1.18,1.33,4.27,999
312,Sam Aldegheri,LAA,20,21,114,60,14,90,47,1.11,1.38,4.74,999
313,Kyle Robinson,PIT,17,22,105.1,53,11,65,38,0.94,1.38,4.53,999
314,Mason Englert,TBR,5,36,69,28,7,63,18,0.91,1.17,3.65,999
315,Marco Raya,MIN,20,27,97.2,48,10,83,41,0.92,1.36,4.42,999
316,Emmanuel Clase,CLE,0,62,62.2,20,4,59,14,0.57,1.05,2.87,999
317,David Sandlin,CHW,13,25,86,42,11,71,27,1.15,1.31,4.4,999
318,Hunter Owen,KCR,20,22,100.2,49,11,80,37,0.98,1.31,4.38,999
319,Gordon Graceffo,STL,13,33,92.1,42,9,73,28,0.88,1.27,4.1,999
320,Brandon Walter,HOU,14,20,87.1,39,11,67,21,1.13,1.24,4.02,999
321,Ryan Bergert,KCR,23,26,102.1,49,12,84,40,1.06,1.34,4.31,999
