Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Tyler Uberstine,ATL,18,22,99.7,13,89,35,1.17352,1.334,4.24273
Chase Dollander,COL,23,23,107.7,14,93,43,1.16992,1.3649,4.76323
Connor Noland,CHC,20,24,114.3,14,83,36,1.10236,1.31234,4.25197
Max Meyer,MIA,20,20,92.7,12,84,31,1.16505,1.2945,4.07767
Braxton Bragg,BAL,18,21,89.7,12,79,26,1.20401,1.24861,4.21405
Josh Stephan,TOR,19,21,100,12,72,29,1.08,1.27,4.59
Tate Kuehner,MIL,21,22,97.7,10,92,47,0.921187,1.38178,4.23746
Ryan Gusto,MIA,17,24,97.3,12,80,36,1.10997,1.37718,4.43988
Jackson Kent,WSN,22,22,108,14,88,38,1.16667,1.34259,4.75
Riley Gowens,CHW,22,22,107.7,16,95,38,1.33705,1.32776,4.5961
Garrett Whitlock,BOS,5,43,68,7,74,18,0.926471,1.13235,3.17647
Christian Scott,NYM,19,19,85.7,11,76,25,1.15519,1.23687,4.41074
Quinn Mathews,STL,24,24,102.3,11,101,50,0.967742,1.36852,4.1349
Cristian Javier,HOU,19,20,97,13,93,44,1.20619,1.31959,4.26804
Sem Robberse,STL,19,20,99,11,76,33,1,1.32323,4.18182
Hagen Smith,CHW,28,28,102.7,12,98,46,1.05161,1.33398,4.55696
Emmanuel Clase,CLE,0,62,61.3,4,59,13,0.587276,1.04405,2.78956
Sawyer Gipson-Long,DET,16,22,87.7,12,73,22,1.23147,1.23147,4.31015
Wilber Dotel,PIT,24,24,110.3,13,86,39,1.06074,1.35086,4.32457
Tyler Mahle,ATL,20,20,95,11,76,31,1.04211,1.27368,3.88421
Luis Gil,NYY,20,21,98.7,14,100,48,1.2766,1.32725,4.46809
Jackson Ferris,LAD,23,24,116.7,15,101,49,1.15681,1.37104,4.78149
AJ Blubaugh,HOU,19,27,110,15,100,43,1.22727,1.30909,4.17273
Zac Thornton,NYM,19,20,89.3,10,68,26,1.00784,1.2766,4.33371
Luis Ortiz,CLE,16,22,103.3,13,98,40,1.13262,1.28751,3.92062
Brant Hurter,DET,13,36,88.3,10,78,25,1.01925,1.2231,3.77123
Cody Bradford,TEX,16,21,88.7,13,71,20,1.31905,1.20631,4.36302
Antwone Kelly,PIT,25,25,101.7,12,77,37,1.06195,1.35693,4.15929
Mason Black,KCR,22,26,104.7,13,86,43,1.11748,1.38491,4.64183
Ixan Henderson,STL,21,22,108.7,12,86,42,0.99356,1.35235,4.22263
Hayden Birdsong,SFG,19,26,102,12,98,45,1.05882,1.32353,4.32353
Sean Sullivan,COL,21,21,102,15,76,30,1.32353,1.30392,4.85294
Eduardo Rodriguez,ARI,21,21,113.7,17,101,42,1.34565,1.39842,4.27441
Fernando Perez,TOR,24,24,107,14,73,32,1.17757,1.29907,4.54206
Ryan Bergert,KCR,23,26,101.7,12,84,40,1.06195,1.3471,4.33628
Ryan Gallagher,MIN,21,21,105.3,15,85,33,1.28205,1.32953,4.70085
Kyle Freeland,COL,23,23,119.7,19,87,34,1.42857,1.45363,5.03759
Logan Workman,TBR,22,23,117,18,90,34,1.38462,1.30769,4.61538
Dietrich Enns,BAL,17,29,98.7,14,88,34,1.2766,1.45897,4.3769
Mike Vasil,CHW,11,35,101.7,10,82,40,0.884956,1.33727,4.0708
Josh Hartle,WSN,23,23,103.7,11,80,37,0.954677,1.31148,4.16586
Yorman Gómez,CLE,15,24,104,12,85,39,1.03846,1.33654,4.15385
Lucas Giolito,SDP,24,24,123.7,19,108,48,1.38238,1.40663,4.65643
Grant Rogers,TOR,23,23,122.3,16,74,31,1.17743,1.30008,4.56255
Shane Murphy,CHW,19,23,103.7,16,68,22,1.38862,1.2729,4.59981
Will Sanders,CHC,20,23,107,13,90,36,1.09346,1.27103,4.28972
Brody Hopkins,TBR,24,24,104.7,12,91,44,1.03152,1.33715,4.46991
Gabriel Hughes,COL,23,23,100,13,69,34,1.17,1.4,4.68
Josh Winckowski,TOR,9,31,79.3,9,64,25,1.02144,1.29886,3.97226
Winston Santos,TEX,22,22,97.3,12,76,29,1.10997,1.24358,4.62487
Drew Thorpe,CHW,18,18,93.7,13,71,32,1.24867,1.33404,4.51441
Logan Evans,SEA,22,25,109,13,85,34,1.07339,1.2844,4.12844
Angel Bastardo,BOS,20,20,95.7,12,83,41,1.12853,1.36886,4.13793
Jeremiah Estrada,SDP,0,68,67,8,93,27,1.07463,1.13433,3.22388
Jacob Miller,MIA,21,22,109,12,75,40,0.990826,1.37615,4.45872
Brad Lord,WSN,16,38,107.7,12,79,33,1.00279,1.29991,4.42897
Will Watson,NYM,21,26,104,12,91,45,1.03846,1.36538,4.58654
Bryan Abreu,HOU,0,67,68.3,6,90,30,0.79063,1.1713,2.7672
Justin Hagenman,NYM,12,29,82,12,70,19,1.31707,1.2561,4.39024
Steven Zobac,KCR,21,22,91.7,12,70,26,1.17775,1.29771,4.61287
Emerson Hancock,SEA,21,26,113,15,92,35,1.19469,1.26549,4.22124
Chris Campos,LAD,19,23,103,16,80,28,1.39806,1.30097,4.80583
Mitch Spence,KCR,17,30,109.3,14,81,33,1.15279,1.33577,4.44648
Kohl Drake,ARI,20,22,94.7,12,87,34,1.14044,1.31996,3.99155
Trevor McDonald,SFG,20,26,122.3,14,98,38,1.03025,1.28373,4.1946
Joey Estes,ATH,20,21,102.7,15,71,28,1.31451,1.27556,4.6446
Thomas Harrington,PIT,21,23,104,13,79,31,1.125,1.29808,4.24038
Jhonathan Díaz,SEA,19,24,108.3,12,81,30,0.99723,1.29271,4.15512
Kutter Crawford,BOS,17,20,100.3,15,85,30,1.34596,1.25623,4.48654
Jake Brooks,COL,21,22,102,13,60,27,1.14706,1.38235,4.76471
Ben Kudrna,KCR,20,22,101,11,77,41,0.980198,1.38614,4.54455
Chris Paddack,TEX,21,24,114.3,19,88,30,1.49606,1.32108,4.64567
Jaxon Wiggins,CHC,23,24,91.7,10,81,42,0.981461,1.34133,4.22028
Bryce Mayer,HOU,16,22,91.7,12,79,27,1.17775,1.22137,4.31843
Brycen Mautz,STL,24,24,105.3,13,87,37,1.11111,1.32004,4.35897
Dylan Ray,ARI,23,23,112.3,13,85,39,1.04185,1.34461,4.24755
Clayton Kershaw,,19,22,97.3,13,72,35,1.20247,1.39774,4.53237
Nathan Eovaldi,TEX,17,17,96.3,14,82,29,1.30841,1.25649,4.29907
Bailey Falter,ATL,22,24,111,15,78,37,1.21622,1.32432,4.45946
Alan Rangel,PHI,20,24,107.3,16,88,36,1.34203,1.35135,4.86486
Trenton Denholm,CLE,17,22,106,14,72,28,1.18868,1.32075,4.33019
Ben Shields,COL,17,21,82.7,11,74,29,1.1971,1.36638,4.57074
Alex Cobb,,19,20,91.7,11,73,35,1.07961,1.4831,4.41658
Abner Uribe,MIL,0,66,68,4,79,30,0.529412,1.13235,3.04412
Richard Fitts,STL,21,21,101.3,13,79,29,1.15499,1.26357,4.17572
Gordon Graceffo,STL,13,34,94,10,75,29,0.957447,1.28723,4.11702
Robbie Ray,SDP,24,24,127.7,19,121,47,1.33908,1.31558,4.22866
Adrian Morejon,SDP,1,65,66,5,66,21,0.681818,1.16667,3.27273
Shane Drohan,MIL,21,23,91,12,87,38,1.18681,1.30769,4.25275
Nathan Wiles,,15,23,94.3,12,72,23,1.14528,1.28314,4.19936
Spencer Arrighetti,TOR,18,20,98.3,13,102,44,1.19023,1.31231,4.2116
Spencer Giesting,ARI,23,23,120.7,14,100,47,1.04391,1.35874,4.17564
Darren McCaughan,,15,23,95.7,15,74,28,1.41066,1.35841,5.17241
Nick Dean,CHC,20,21,88.3,12,72,27,1.2231,1.27973,4.28086
Blake Wehunt,BOS,23,23,90.3,11,74,34,1.09635,1.35105,4.38538
